,loss,explained_variance,explained_variance_weighted,corr,mse
0,1.8004924,0.09975655973886621,0.141324109680923,0.44992563,43.751730229243776
1,1.8004924,0.0637907332608495,0.141324109680923,0.4585649,38.88386689072856
2,1.8004924,0.043166161476207,0.141324109680923,0.32449564,2.444292062556776
3,1.8004924,0.09843239277401639,0.141324109680923,0.42420503,9.416230813742171
4,1.8004924,0.07717690711254488,0.141324109680923,0.3650352,219.4415346689012
5,1.8004924,0.043851836701849334,0.141324109680923,0.24820828,12.43723559508268
6,1.8004924,0.021740671814723722,0.141324109680923,0.21440859,13.87449393722474
7,1.8004924,0.03235203898643857,0.141324109680923,0.3051808,47.72847316421012
8,1.8004924,-0.03744510605575413,0.141324109680923,-0.066294394,0.08107135007943796
9,1.8004924,0.08554842225286263,0.141324109680923,0.33603197,3.361071077418946
10,1.8004924,0.05090156931238676,0.141324109680923,0.28748918,7.197434880829627
11,1.8004924,0.11001133314430867,0.141324109680923,0.46030554,4.335299101380573
12,1.8004924,0.010404231504689943,0.141324109680923,0.10466138,3.73089032619186
13,1.8004924,0.05811984364257028,0.141324109680923,0.2438729,72.593132638749
14,1.8004924,0.047256650315661064,0.141324109680923,0.22043338,12.636417356062049
15,1.8004924,0.0572839404866895,0.141324109680923,0.24468812,3.427841294845079
16,1.8004924,0.09880646916276303,0.141324109680923,0.32601267,4.88447857211107
17,1.8004924,0.0817062658392056,0.141324109680923,0.28689292,10.35493374584248
18,1.8004924,0.12195056046091557,0.141324109680923,0.39433998,2.474924530687202
19,1.8004924,0.07475623849595547,0.141324109680923,0.2747406,91.55154512365057
20,1.8004924,0.17419268048537762,0.141324109680923,0.41736618,283.02780816792904
21,1.8004924,0.24148663038399054,0.141324109680923,0.537981,138.6535445950529
22,1.8004924,0.06885603167466658,0.141324109680923,0.28321406,4.124569490459371
23,1.8004924,0.0611062408397236,0.141324109680923,0.38769925,44.125434344437004
24,1.8004924,0.04094730131759561,0.141324109680923,0.28664726,78.40348307994594
25,1.8004924,0.02412632241645285,0.141324109680923,0.16722141,15.104091850949946
26,1.8004924,0.047670658882523864,0.141324109680923,0.22143097,7.956706576421471
27,1.8004924,0.1068634844145252,0.141324109680923,0.5400259,91.89284019840395
28,1.8004924,0.03569847778915958,0.141324109680923,0.36597043,18.467248748514585
29,1.8004924,0.017356565925010448,0.141324109680923,0.36945814,143.7179302229494
30,1.8004924,0.12530333119323578,0.141324109680923,0.37129438,0.33540793254113216
31,1.8004924,0.16945841217000057,0.141324109680923,0.4892738,0.4255927991376143
32,1.8004924,-0.006526097082537818,0.141324109680923,-0.062234923,2.3157837642997006
33,1.8004924,-0.00570084530059356,0.141324109680923,-0.0717405,7.6540743482943
34,1.8004924,0.015886219909028387,0.141324109680923,0.12944789,0.37511545191374673
35,1.8004924,-0.03156013765051591,0.141324109680923,-0.22719023,3.3534002583124987
36,1.8004924,0.021820641309579503,0.141324109680923,0.19394329,2.1143941909871122
37,1.8004924,0.028687010973382,0.141324109680923,0.1724232,3.113078271530926
38,1.8004924,0.23817543533066077,0.141324109680923,0.545524,75.96063249688991
39,1.8004924,0.08795740138775321,0.141324109680923,0.50775015,108.1930086751277
40,1.8004924,-0.01879727133540432,0.141324109680923,-0.08670174,65.48992818548298
41,1.8004924,0.18262287978271352,0.141324109680923,0.503554,16.391863169748977
42,1.8004924,0.11464413978498422,0.141324109680923,0.3613956,21.262648565579994
43,1.8004924,0.15110702809528642,0.141324109680923,0.445655,5.8377978766864755
44,1.8004924,-0.04034629314977378,0.141324109680923,0.027704109,0.7701246852172404
45,1.8004924,0.07823117311435535,0.141324109680923,0.32179707,5.1306449079656105
46,1.8004924,0.2062284764985085,0.141324109680923,0.482955,283.02454514660843
47,1.8004924,0.014122429493133248,0.141324109680923,0.36492372,38.16530515906771
48,1.8004924,0.018882660208995206,0.141324109680923,0.2732331,17.60266445736987
49,1.8004924,-0.001584502126526166,0.141324109680923,0.060107697,2.6399882071656933
50,1.8004924,0.007425591023344502,0.141324109680923,0.20253776,64.35734173287427
51,1.8004924,0.01185394251608185,0.141324109680923,0.19414045,6.851064607741576
52,1.8004924,0.05926813850530599,0.141324109680923,0.25875401,0.7654378886718203
53,1.8004924,0.010640448753333476,0.141324109680923,0.29582825,252.75660362090215
54,1.8004924,0.011969229208777965,0.141324109680923,0.11918259,55.62775562397247
55,1.8004924,0.13400295546157526,0.141324109680923,0.42174125,80.47773406313159
56,1.8004924,0.16701658090150595,0.141324109680923,0.44421896,14.914927826654205
57,1.8004924,0.10789363723858902,0.141324109680923,0.3288298,16.431279853515452
58,1.8004924,0.15870141807441374,0.141324109680923,0.40615436,16.375681086850847
59,1.8004924,0.06798575517052574,0.141324109680923,0.26380754,1.0616403506662637
60,1.8004924,0.0032162367192467567,0.141324109680923,0.06921947,15.827225873121936
61,1.8004924,0.02510086966606684,0.141324109680923,0.1729936,3.4339324998736065
62,1.8004924,0.04407927203491657,0.141324109680923,0.24737984,3.7014667420177503
63,1.8004924,0.04395364934381574,0.141324109680923,0.21242286,3.34487668370884
64,1.8004924,0.17317357406553147,0.141324109680923,0.4193797,29.946906043538412
65,1.8004924,0.03558925701357285,0.141324109680923,0.21843742,0.45640525261076853
66,1.8004924,0.0042458332552449685,0.141324109680923,0.06577097,3.403953539742183
67,1.8004924,0.15011359341261277,0.141324109680923,0.4052526,0.36889232934466626
68,1.8004924,0.2120984469399657,0.141324109680923,0.6004459,4.516634657513845
69,1.8004924,-0.07789053976430216,0.141324109680923,0.039897706,0.12057117362548805
70,1.8004924,0.10967491284071806,0.141324109680923,0.60179794,13.446051403590822
71,1.8004924,0.316207104632111,0.141324109680923,0.60696274,1.476102140265032
72,1.8004924,0.04859683499188194,0.141324109680923,0.30842978,0.3769411013046218
73,1.8004924,0.023197915570893013,0.141324109680923,0.1582899,10.826841896961941
74,1.8004924,0.2118795277625689,0.141324109680923,0.6868631,4.369264072165858
75,1.8004924,0.05605093209891754,0.141324109680923,0.24354014,1.7409901524706992
76,1.8004924,0.09554081281542681,0.141324109680923,0.39885244,0.6291341009400377
77,1.8004924,0.0718327060388585,0.141324109680923,0.28379807,0.7814218353825654
78,1.8004924,0.11053658848770165,0.141324109680923,0.3391985,3.081753419909916
79,1.8004924,0.4197684928198827,0.141324109680923,0.70058507,4.031716693998073
80,1.8004924,0.330886420769817,0.141324109680923,0.58054435,3.947876147125152
