,criterion,max_features,n_jobs,ccp_alpha,random_state
"OILY, FATTY",0,absolute_error,log2,-1,432
"BUTTERY, FRESH BUTTER",0.3,absolute_error,log2,-1,432
PAINT,0.15,absolute_error,sqrt,-1,432
VARNISH,0.15,absolute_error,sqrt,-1,432
POPCORN,0.15,absolute_error,log2,-1,432
FRIED CHICKEN,0.15,absolute_error,log2,-1,432
"MEATY ( COOKED,GOOD)",0.15,friedman_mse,sqrt,-1,432
SOUPY,0.3,poisson,sqrt,-1,432
COOKED VEGETABLES,0.15,absolute_error,sqrt,-1,432
RANCID,0.15,poisson,sqrt,-1,432
SWEATY,0.15,poisson,sqrt,-1,432
CHEESY,0.3,absolute_error,sqrt,-1,432
HOUSEHOLD GAS,0.3,poisson,log2,-1,432
SULFIDIC,0.15,poisson,sqrt,-1,432
"GARLIC, ONION",0.3,absolute_error,sqrt,-1,432
METALLIC,0.15,absolute_error,log2,-1,432
"BLOOD, RAW MEAT",0,friedman_mse,sqrt,-1,432
ANIMAL,0.15,poisson,sqrt,-1,432
SEWER,0.15,poisson,sqrt,-1,432
"PUTRID, FOUL, DECAYED",0.15,poisson,log2,-1,432
"FECAL, LIKE MANURE",0.15,poisson,sqrt,-1,432
CADAVEROUS,0.3,absolute_error,log2,-1,432
SICKENING,0.3,squared_error,log2,-1,432
"DRY, POWDERY",0,absolute_error,sqrt,-1,432
CHALKY,0.3,absolute_error,log2,-1,432
LIGHT,0.15,absolute_error,log2,-1,432
HEAVY,0.3,absolute_error,log2,-1,432
"COOL,COOLING",0.3,absolute_error,sqrt,-1,432
WARM,0.15,absolute_error,sqrt,-1,432
