,loss,explained_variance,explained_variance_weighted,corr,mse
0,1.5413923,0.14861433398797586,0.11500615134962044,0.40611356,121.94202320741668
1,1.5413923,0.03578407285515428,0.11500615134962044,0.2559851,11.475649216051307
2,1.5413923,0.04273074515184028,0.11500615134962044,0.26582325,1.9297469909276062
3,1.5413923,0.08157096369077788,0.11500615134962044,0.31927478,47.412645466819356
4,1.5413923,0.05396765319544361,0.11500615134962044,0.3294278,19.312719357901628
5,1.5413923,0.15950406429671915,0.11500615134962044,0.48002067,1.423268709526716
6,1.5413923,0.14940702456437904,0.11500615134962044,0.5210498,4.11978060851287
7,1.5413923,0.0570415984830317,0.11500615134962044,0.29185718,3.765564208282851
8,1.5413923,0.0954605717211674,0.11500615134962044,0.33711708,1.848200629879624
9,1.5413923,0.08979759963997602,0.11500615134962044,0.3036087,6.737187191295133
10,1.5413923,0.13122813382378273,0.11500615134962044,0.40958542,6.000237663377496
11,1.5413923,0.10050954668650147,0.11500615134962044,0.3308114,3.9468027641728356
12,1.5413923,0.081445715368893,0.11500615134962044,0.29738128,1.7748743804265736
13,1.5413923,0.10164983773269765,0.11500615134962044,0.3311128,5.872111865391336
14,1.5413923,0.1351562983248027,0.11500615134962044,0.41931432,3.4846401204158775
15,1.5413923,0.11257345680736897,0.11500615134962044,0.35883087,2.825222868070252
16,1.5413923,0.12677243019403728,0.11500615134962044,0.3787032,4.435829957650694
17,1.5413923,0.07863008358908419,0.11500615134962044,0.28876463,2.121699246585783
18,1.5413923,0.03356036033381138,0.11500615134962044,0.21079385,1.5309476379290041
19,1.5413923,0.14809012347468853,0.11500615134962044,0.44943184,6.578530567539691
20,1.5413923,0.08942182347195893,0.11500615134962044,0.3245302,17.216107785593156
