,loss,learning_rate,ccp_alpha,n_iter_no_change,random_state
RANCID,0,0.05,squared_error,5,432
SWEATY,0,0.05,absolute_error,10,432
CHEESY,0.15,0.1,huber,15,432
HOUSEHOLD GAS,0.3,0.1,huber,15,432
SULFIDIC,0,0.05,absolute_error,15,432
"GARLIC, ONION",0,0.1,absolute_error,15,432
METALLIC,0.3,0.05,huber,15,432
"BLOOD, RAW MEAT",0.15,0.1,huber,15,432
ANIMAL,0,0.1,absolute_error,5,432
SEWER,0,0.05,absolute_error,15,432
"PUTRID, FOUL, DECAYED",0,0.05,absolute_error,5,432
"FECAL, LIKE MANURE",0,0.1,absolute_error,5,432
CADAVEROUS,0,0.05,absolute_error,10,432
SICKENING,0,0.05,absolute_error,15,432
"DRY, POWDERY",0,0.1,absolute_error,5,432
CHALKY,0.15,0.1,huber,15,432
LIGHT,0.15,0.1,squared_error,5,432
HEAVY,0,0.1,absolute_error,15,432
"COOL,COOLING",0.15,0.05,huber,15,432
WARM,0,0.05,absolute_error,10,432
